week,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-51,-0.10103682755217204,0.18267327553916923,-1.3394394487439434,0.15831643030882306,2.0
2026-00,0.4282714332666915,0.5751674494257337,-0.16538939318743054,0.7491858426674419,4.0
2026-01,-0.3372455240503631,1.5039557274178625,0.5952658184690254,0.7260699735694265,8.0
2026-02,-0.8988624840636537,0.7808542389374671,0.3820845011827697,1.161708896682898,4.0
2026-03,1.1231155591148752,0.9503853985446854,0.5572641488009654,0.5562836758979571,5.0
2026-04,0.9633287913762387,0.38719874202484195,-0.33216083981712635,0.6326915753080493,5.0
2026-05,0.3534211952057705,1.0312541621740565,-0.3781448605887912,0.7824569543964025,6.0
2026-06,0.26691040139423466,1.175158460617499,0.16215051275888315,1.0169109291752332,10.0
2026-07,0.013646346310592904,0.581116096553183,-0.3944912429318693,1.0313703997447907,14.0
2026-08,-0.33022520893514523,1.0019190879481796,-0.07447554949424137,0.75089913439891,13.0
2026-09,0.035050189605634476,1.167993190203193,-0.2772574320519324,0.9410773232735612,12.0
2026-10,-0.1679635782297846,0.6397589356604263,-0.15218211959244213,1.150079301333659,13.0
2026-11,0.07529250345429882,1.142031075963424,0.23311898352423732,0.746719300318223,14.0
2026-12,-0.32972189459002593,0.764773518879391,0.07163994750083126,0.8671869835901368,6.0
2026-13,-0.20036172683322914,0.688390521703855,-0.41325587599492936,1.0133398467196713,7.0
2026-14,-0.19118854700874888,1.0897993777114174,-0.01937375038945871,1.0323674127098499,15.0
2026-15,0.2716140026970651,0.4655559568184389,-0.6094126921118579,0.7824727235115094,6.0
2026-16,0.21127083863854362,1.0493648002578797,0.17992507075113479,1.176522657251357,23.0
2026-17,0.15059966823493717,0.8445561498269271,-0.1948951055953317,0.84746457032123,13.0
2026-18,-0.717146892899847,1.2368644344151953,0.3981833924057945,1.1787264804259439,14.0
2026-19,0.13054722412882647,1.1380313459179094,-0.03909157917929812,1.0188956892719194,12.0
2026-20,0.7335617483199054,0.5903094491490922,0.25455535837849136,0.5128889103925843,6.0
2026-21,0.2693208496122764,1.0907592807403117,0.19439907415638222,1.098029669354732,7.0
2026-22,-0.37901537754933634,0.1415080614009883,0.22560057658124327,1.0660195577303688,4.0
2026-23,-0.08718968142125114,0.6837560545989708,0.5443321836209252,1.3878114428783401,10.0
2026-24,-0.15362234232984853,0.5347069039428247,-0.2811650126544281,0.9364373669900318,3.0
2026-25,-0.9474146450722958,0.5823069531146904,-0.5428672141039349,0.06434122357835693,2.0
2026-26,-0.6981160708989816,0.8789999549835753,-0.7500126825432848,2.0238579383499307,2.0
