,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Hungary,Hungary,GPE,0.33618991,0.85523895,en,127.30000000,4078541-5,719819,A,47.00000000,20.00000000,EUROPE,Hungary,WCE
Japan,Japan,GPE,0.24467275,0.41133942,en,7.30000000,4028495-5,1861060,A,35.68536000,139.75309000,ASIA,Japan,EAS
Mediterranean,Mediterranean,LOC,-0.04458085,0.37958829,en,6.40000000,,0,,,,,,
Transdanubia,Transdanubia,GPE,0.02966742,0.49470899,en,4.90000000,,3053467,L,47.00000000,18.00000000,EUROPE,Hungary,WCE
the United States,the United States,GPE,0.17109788,0.76937831,en,4.50000000,,0,,,,,,
the Middle East,the Middle East,LOC,0.15194805,0.30503247,en,4.40000000,,12217091,L,35.80000000,-86.50000000,NORTH-AMERICA,United States,ENA
US,US,GPE,-0.17664093,0.51544402,en,3.70000000,,0,,,,,,
Europe,Europe,LOC,0.12626263,0.38005051,en,3.30000000,,0,,,,,,
Croatia,Croatia,GPE,0.03879310,0.77083333,en,2.90000000,4073841-3,3202326,A,45.16667000,15.50000000,EUROPE,Croatia,WCE
Arctic,Arctic,LOC,-0.19061147,0.76244589,en,2.80000000,,0,,,,,,
Hawaii,Hawaii,GPE,0.26587302,0.65079365,en,2.80000000,251184-8,5855797,A,20.78785000,-156.38612000,PACIFIC,United States,NPO
Slovakia,Slovakia,GPE,-0.07036020,0.47420635,en,2.60000000,4055297-4,3057568,A,48.66667000,19.50000000,EUROPE,Slovakia,WCE
Budapest,Budapest,GPE,0.24198718,0.92574786,en,2.60000000,4008684-7,3054643,P,47.49835000,19.04045000,EUROPE,Hungary,WCE
Lake Balaton,Lake Balaton,GPE,0.00000000,0.00000000,en,2.30000000,,3055597,H,46.83333000,17.75000000,EUROPE,Hungary,WCE
Brussels,Brussels,GPE,0.07177033,0.23923445,en,1.90000000,4008460-7,2800866,P,50.85045000,4.34878000,EUROPE,Belgium,WCE
Israel,Israel,GPE,-0.03289474,0.09868421,en,1.90000000,4027808-6,294640,A,31.50000000,34.75000000,EUROPE-AFRICA,Israel,MED
vineyards,vineyards,LOC,-0.28508772,0.77192982,en,1.90000000,,4176527,P,26.22373000,-81.72798000,NORTH-AMERICA,United States,ENA
Southeastern Europe,Southeastern Europe,LOC,-0.15789474,1.00000000,en,1.90000000,,9166199,L,41.44260000,22.59680000,EUROPE-AFRICA,North Macedonia,MED
Greece,Greece,GPE,-0.10526316,0.65789474,en,1.90000000,4022047-3,390903,A,39.00000000,22.00000000,EUROPE-AFRICA,Greece,MED
The United States,The United States,GPE,-0.01858814,0.48767753,en,1.90000000,,0,,,,,,
Alps,Alps,GPE,0.00000000,0.00000000,en,1.90000000,,0,,,,,,
Russia,Russia,GPE,-0.03373016,0.17261905,en,1.80000000,4076899-5,2017370,A,60.00000000,100.00000000,ASIA,Russia,ESB
Slovenia,Slovenia,GPE,0.00154321,0.48302469,en,1.80000000,4055302-4,3190538,A,46.08333000,15.00000000,EUROPE,Slovenia,WCE
Ukraine,Ukraine,GPE,-0.42592593,0.61111111,en,1.80000000,4061496-7,690791,A,49.00000000,32.00000000,EUROPE,Ukraine,WCE
Austria,Austria,GPE,0.10294118,0.26470588,en,1.70000000,4043271-3,2782113,A,47.33333000,13.33333000,EUROPE,Austria,WCE
Western Europe,Western Europe,LOC,0.08823529,0.30718954,en,1.70000000,,0,,,,,,
New York,New York,GPE,-0.08912656,0.74866310,en,1.70000000,4042011-5,5128581,P,40.71427000,-74.00597000,NORTH-AMERICA,United States,ENA
Bucharest,Bucharest,GPE,-0.58169935,0.61437908,en,1.70000000,4008858-3,683506,P,44.43225000,26.10626000,EUROPE-AFRICA,Romania,MED
Germany,Germany,GPE,-0.27083333,0.37500000,en,1.60000000,4011882-4,2921044,A,51.50000000,10.50000000,EUROPE,Germany,WCE
Vienna,Vienna,GPE,0.33854167,1.04340278,en,1.60000000,4066009-6,2761369,P,48.20849000,16.37208000,EUROPE,Austria,WCE
America,America,GPE,0.07692308,1.25000000,en,1.30000000,,0,,,,,,
