day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-12-25,-0.07858619641275277,0.21111046135325465,-1.3300891486233173,0.1748638458426581,2.0
2026-01-01,0.12869824845728742,1.0,-0.4606829291154867,1.0,1.0
2026-01-02,0.915071642877884,1.0,0.8969495891510612,1.0,1.0
2026-01-04,0.36029387446878774,0.7171872315836888,-0.5674509719981865,0.46342777252569567,2.0
2026-01-06,2.584319705324661,1.0,0.20135282467620197,1.0,1.0
2026-01-07,0.019467019291317833,1.1238870656225282,0.042866416874132035,0.46551314360772567,2.0
2026-01-08,-1.1196095288592574,0.8020855167147087,0.8216399261394189,0.8903479831257923,4.0
2026-01-09,-0.9010646046685877,1.0,1.1753615121753938,1.0,1.0
2026-01-13,-0.8104781660064221,0.9128988378001582,0.7193900943847832,0.6448409630939703,2.0
2026-01-16,-1.729552719881094,1.0,1.3297497495507207,1.0,1.0
2026-01-17,-0.2278638352150597,1.0,-1.2064417374436147,1.0,1.0
2026-01-19,-0.14683408036444548,1.0,0.7930472796275237,1.0,1.0
2026-01-20,1.0592980659272557,1.0,0.791769737157983,1.0,1.0
2026-01-21,2.327622057636251,1.0,1.1753615121753938,1.0,1.0
2026-01-22,1.6492472706174834,1.0,0.33064401224992196,1.0,1.0
2026-01-23,0.8141751846808578,1.0,-0.2863010837023579,1.0,1.0
2026-01-26,0.8141751846808578,1.0,-0.2863010837023579,1.0,1.0
2026-01-27,0.9697969364394192,1.0,0.0772211208402602,1.0,1.0
2026-01-28,1.2489546906403854,1.0,0.20135282467620197,1.0,1.0
2026-01-31,0.8172465698327183,0.6083301398296554,-0.8723058085022024,0.7158740788672011,2.0
2026-02-02,-0.1870374285274727,0.637930370835745,-0.7982448712594175,1.3951352068552545,2.0
2026-02-05,-0.4948307480445769,1.0,-0.714574297541683,1.0,1.0
2026-02-06,0.39377327552658187,0.5945380815735188,-0.08329238983044816,0.2870976481533026,2.0
2026-02-08,2.042922848692484,1.0,0.20135282467620197,1.0,1.0
2026-02-10,-0.07554745701168042,1.3577097322914775,0.507142212040945,0.9580424708694416,2.0
2026-02-11,1.2396957566176556,1.0,0.4074982997345989,1.0,1.0
2026-02-12,0.17996887601383588,1.1725324110536275,-0.44263158809895825,1.0192568619785074,5.0
2026-02-13,-0.9685971663239996,1.0,0.8220113438559102,1.0,1.0
2026-02-14,1.7743880110063202,1.0,1.5603126120047512,1.0,1.0
2026-02-18,-0.0018170651951124606,0.5537295799938062,-0.09966655712595662,0.8382452291321595,2.0
2026-02-19,-0.0453221697459123,0.6562720948074742,-0.4875781316132743,0.3423200412162745,2.0
2026-02-20,0.5782509954822199,1.0,-1.1640959175191563,1.0,1.0
2026-02-21,-0.4759585770936223,0.5674468816615182,-0.4119072633731342,2.1047113621524556,3.0
2026-02-22,0.25871818033388755,0.5237109133612828,-0.3469669427000656,0.8003741457745653,6.0
2026-02-23,-0.575843353916397,0.9240521773219569,-0.4425089929901671,0.7175563043021773,4.0
2026-02-24,-0.11070901545854922,1.5204374268890268,0.13131680083414196,0.9207608879470564,3.0
2026-02-25,-0.4109960934258889,1.0,0.6583107979873452,1.0,1.0
2026-02-26,-1.7082362702447975,1.0,1.1753615121753938,1.0,1.0
2026-02-27,-0.18427934956054737,0.936397478478292,-0.6343159874827755,0.3281115978894892,2.0
2026-02-28,0.41864929911547233,0.23506457259609517,-0.09392050189591998,0.35260371104622146,2.0
2026-03-02,0.5619340391882923,1.0,-2.0263756026044453,1.0,1.0
2026-03-04,0.6917680419567616,0.5779140731172296,-0.7836587926052929,0.6970594293702704,4.0
2026-03-05,-0.3915342411416083,1.227923913483484,0.14296381430901886,0.7600594172544779,2.0
2026-03-06,-1.3355619562509813,1.5113752104824916,0.24703904618799127,1.035495357525465,2.0
2026-03-07,0.8141751846808578,1.0,-0.2863010837023579,1.0,1.0
